board,tempP1,,,,,
11,7,910,813.56,-0.3234,-1.23091,42975.7
11,8,955,854.552,-0.311125,-0.491579,43606.4
11,9,940,858.39,-0.349267,-0.940404,43293.2
11,10,955,875.563,-0.371534,-1.00525,43148.2
11,11,925,828.453,-0.361364,-0.908634,43331.2
11,12,880,780.685,-0.397973,-2.31869,42376.6
11,13,895,802.532,-0.387104,-1.69942,43109.1
11,14,910,814.449,-0.307679,-2.01325,42761.1
11,15,835,727.489,-0.316028,-1.99497,42602.2
11,16,925,795.752,-0.347142,-1.61558,43276.2
11,17,925,783.587,-0.314633,-1.6816,43014.6
11,18,925,803.001,-0.362356,-1.38144,43066.1
11,19,910,778.07,-0.303497,-1.72473,42519.6
11,20,940,813.999,-0.380539,-1.63737,42768.8
11,21,1000,871.879,-0.365877,-1.89642,42583.8
11,22,925,796.45,-0.299279,-1.43221,42773.4
11,23,910,802.061,-0.341393,-1.21188,43027.4
11,24,970,838.025,-0.308141,-1.49528,43030.2
11,25,940,795.114,-0.271122,-1.06423,43374.3
11,26,1030,901.719,-0.3513,-0.649526,43326.5
11,27,910,769.63,-0.28865,-1.38549,42921.5
11,28,1015,874.93,-0.294525,-0.179257,43735.4
11,29,850,726.798,-0.373187,-1.23913,43064.1
11,30,850,744.415,-0.39098,-0.813843,43291.9
11,31,910,775.667,-0.357147,0.742477,44034.8
12,0,820,745.773,-0.386341,0.566642,44125.3
12,1,805,708.745,-0.368166,0.159341,44030.5
12,2,790,680.819,-0.334232,1.31645,44634.8
12,3,775,656.241,-0.327194,0.61038,44453.8
12,4,865,779.285,-0.329989,-1.40655,42768.6
12,5,895,781.505,-0.27803,-0.679773,43302.6
12,6,880,787.316,-0.339444,-0.778868,43457.4
12,7,865,768.726,-0.347067,-0.770647,43106.8
12,8,850,763.206,-0.333551,-0.292469,43494.6
12,9,850,756.703,-0.350192,-1.08712,43062.6
12,10,820,728.181,-0.368851,-1.01373,43056.6
12,11,820,715.026,-0.380386,-0.71811,43198.6
12,12,880,787.742,-0.362975,-1.42869,42528.7
12,13,850,761.575,-0.389058,-1.59917,42851.4
12,14,850,757.102,-0.382577,-1.73726,42584.7
12,15,790,683.73,-0.409083,-1.71551,42510.4
12,16,805,688.417,-0.350727,-1.42096,42965.3
12,17,820,704.078,-0.346642,-1.49777,42780.3
12,18,805,714.569,-0.365505,-0.655871,43004.1
12,19,760,656.609,-0.379182,-1.02786,42621.7
12,20,850,777.17,-0.364366,-1.94461,42207.9
12,21,865,754.958,-0.300886,-1.49766,42436.4
12,22,790,693.368,-0.342811,-0.958069,42701
12,23,805,710.315,-0.348392,-0.589131,42945.4
12,24,910,840.384,-0.289598,-0.912341,43150.6
12,25,895,829.118,-0.271752,0.251684,43939
12,26,895,819.789,-0.331769,-0.721217,42725.7
12,27,790,680.14,-0.350294,-1.0679,42787
12,28,850,764.492,-0.312504,0.571488,43827.1
12,29,790,716.594,-0.369015,-0.729385,43071.4
12,30,760,718.287,-0.311669,-0.392891,43155
12,31,790,709.078,-0.335127,1.14,44047.8
13,0,790,662.746,-0.362717,-0.448809,43927.3
13,1,820,732.696,-0.370313,-0.114903,43993.1
13,2,805,683.722,-0.343654,1.01175,44773.4
13,3,820,678.794,-0.332356,0.940241,44916.7
13,4,865,748.625,-0.333174,-1.91671,42837
13,5,940,847.028,-0.270701,-0.83984,43584.3
13,6,925,835.229,-0.337817,-1.22069,43419.6
13,7,865,739.16,-0.313137,-1.87964,42848.9
